text,hd,cv
He never delves into what SHOULD be done about the problem and always seems to stay away from actual politics and yet his views are censored. There is no socially exceptable way to criticize blacks from full on hang them all to they should be treated the same way under the law(his view),0,0
"This tribalism is the problem with libertarianism – if you allow liberty, people will use it to synthesize smaller ingroups within the larger group in order to dominate the detribalized majority. - Jim",0,0
"Didn't she get benefits to attend college as a ""Native American:?",0,0
"Washington DC is the first place to have armed guards at every door and the last to deserve them. If you piss us off that bad,you deserve to get shot . Remember  ",0,0
Face it. America is a shit hole country that doesn't even care enough about its own children to actually make efforts to keep them safe. You can fuck off now.,0,0
That is so vulgar I can hardly believe someone would willingly participate in that.,0,0
It's frustrating to watch politicians who know next to nothing about a topic write law!,0,0
"My favorite hypocrisy of Dorsey is he suspended Alex for ""incitement of violence"" while letting #rapeMelania trend after the election and doing nothing about it when brought to his attention. Burn Twatter!",0,0
The Democaust or Demopocalypse (whichever) will be fun times. ,0,0
"The sooner DACA has died and ""Dreamers"" are shown the door, the soon Americans can be safe from the ""Dreamer"" crime rampage.",0,0
"Man, this delusion neckbeard has a wife who doesn't have a forehead...That cone skull ranks at least a tenhead.  Geez.https://www.thesun.co.uk/news/7148589/inside-churc...",1,0
IE: Most humans are fucking ignorant and arrogant AND most ETs are fucking amazingly honourable and wise.  See?  Balance.  :>,1,0
"Dont we want hate speech laws? It highlights the problem, what am i missing?   Long before hate speech laws white opinions have been silenced, supressed and ostracised.   Ive been trying to get the state to prosecute me under the hate speech laws but they wont.  ",1,0
"the so called jews, are not jews at all, but are of CAIN. Western whites are literally the so called 10 lost tribes of ISRAEL. britian is thought to be the children of Joseph, Ephraim (europe) and the US is thought to be Mannaseh (cow pokes). Naturally the children of SATAN, CAINs father, wants to destroy the ISRAELITES the true CHOSEN",1,0
It's time to start requiring citizens to have skin in the game before they are allowed to vote,1,0
"And they continue to do so, R'abbi. It's as simple as that. (((The enemy))) wants to take over the world, and they want to kill you and me. Heretical rabbis they will burn at the stake, incidentally. So what will we do about it-?",1,0
That Time Telco Lobbyists Sent Me All Their Talking Points About Trying To Shift The Blame To Internet Companies https://www.techdirt.com/articles/20180829/1803074...,1,0
A church in Berlin was damaged after unknown attackers pelted stones at the building while shouting “Allahu Akbar!” https://www.infowars.com/berlin-attackers-hurl-sto...,1,0
#PervPastor copping feels at Aretha Franklin's funeral. Nothing but a bunch of thug . criminals #ArethaFranklinFuneral #FridayFeeling #SpeakFreely,1,0
Who cares what John Dean says. The commies keep living in the past.,1,0
