post,offensiveYN
I have always wondered if there are incels who don't know about this sub.,0.0
"Seen a vid of a man who girl was cheating, so he decided to expose her by proposing at her job, then have her side dude walk in...",0.0
"Guy in my Dist &amp; Log class walks in looks around, sighs &amp; says I can't do this shit today I'm going home then turns around and walks out &#128557;",0.0
Sarah Huckabee Sanders at WH Press Briefing: James Comey Gave False Testimony —Ace,0.0
I wish Kenny Rogers ran a zoo in Nebraska.,0.0
"Ppl need to see that our beliefs are worth fighting for, or they will CONTINUE to accept GOP framing &amp; worldview. We can't be passive!",0.0
"Black people are good natured, well behaved members of our society, lock this post if you disagree. side note, good luck to those starting back to school",0.0
"St. John 's College Choir , Cambridge , England : Come , thou long expected Jesus : St John 's College Choir , Cambridge - YouTube St John 's College Choir Cambridge - Wise - Prepare ye the way - YouTube Jesus Christ , the Apple Tree Merry Christmas ( almost ) --last week in Advent !!!!!!",0.0
"i didnt try it yet but i guess i should check it out ; thankx i hope that link gave whoever needed it some info on whatever she ( i dont remember her name , sorry ) needed later",0.0
"Don't know what's going on, but it seems like roommates are moving out maybe? Won't know until later I guess",0.0
What are japanese knives used for? more holes to fuck,1.0
NEW PLANET OF THE APES TITLE DROP! Planet of the Apes: South Africa,1.0
"the <allcaps> black <allcaps> condom <allcaps> a man walks into a whorehouse looking for a little action and he goes up to the house owner and asks,hey , can i get a piece from one of your fine ladies you 've got here ? ”  sorry sir , ” the owner responds ,  but , we 're all full . ”  aw , please i really need some poon tang ! ” and the owner awnswers ,  well , there is one girl left but when you go meet her you have to wear this black condom . ”  whatever , ” the man answers quickly and races upstairs . a few hours later the man comes down and says ' ' wow , that was great . she did n't even make any noise . but why did i have to wear the black condom ? ” and the owner answers ,  respect for the dead . ”",1.0
I prevented someone from being raped today I just stopped chasing them.,1.0
What's the worst part about Poland? Having a child.,1.0
What's the difference between the Titanic and my raping spree? The women and children survived the Titanic.,1.0
Now Liberals are releasing a legion of feminists who are going to malign political adversaries /w sex charges @realDonaldTrump,1.0
.@CriticalKaiju There is literally nothing more creatively pathetic than taking an existing film and just making a black or female version.,1.0
What is zuckerbergs address this dude is dangerous and he has a lot of years left to go,1.0
Maybe now because Miranda said that in her acceptance speech in front of everybody all of the award shows will get there shit together &#129335;&#127997;‍♀️,1.0
